"","name_of_city","state_code","state_name","dist_code","population_total","population_male","population_female","X0.6_population_total","X0.6_population_male","X0.6_population_female","literates_total","literates_male","literates_female","sex_ratio","child_sex_ratio","effective_literacy_rate_total","effective_literacy_rate_male","effective_literacy_rate_female","location","total_graduates","male_graduates","female_graduates"
"397","Rajapalayam",33,"TAMIL NADU",24,158,64624,65495,9,253,5133,103172,54622,48550,1013,956,86.25,92.18,80.43,"9.4653377,77.5275463",11024,6514,4510
"398","Rajarhat Gopalpur",19,"WEST BENGAL",11,424,205560,199431,365,123,16734,337188,175680,161508,970,964,90.91,93.34,88.4,"22.6321975,88.4540911",73182,42023,31159
"399","Rajkot",24,"GUJARAT",9,156,675731,611264,98,364,59702,1026040,559369,466671,905,828,88.82,92.67,84.61,"22.3038945,70.8021599",148048,78946,69102
"400","Rajnandgaon",22,"CHHATTISGARH",9,236,81873,81249,237,475,9067,127042,68134,58908,992,943,87.95,94.29,81.61,"21.0971034,81.0302222",19640,11324,8316
"401","Rajpur Sonarpur",19,"WEST BENGAL",17,429,215983,207823,350,106,15402,357154,188374,168780,962,952,91.06,94.28,87.71,"22.4490894,88.3914731",68707,40399,28308
"402","Ramagundam",28,"ANDHRA PRADESH",3,339,116920,112712,197,446,8021,160646,89722,70924,964,897,75.54,83.1,67.75,"18.7595503,79.4816378",27209,17266,9943
"403","Rampur",9,"UTTAR PRADESH",5,401,169826,155422,380,137,18209,174508,95157,79351,915,923,60.74,63.4,57.83,"25.4842209,82.5916032",30319,16005,14314
"404","Ranchi",20,"JHARKHAND",19,50,559031,514409,63,311,57907,841652,459317,382335,920,899,88.49,92.87,83.75,"23.3440997,85.309562",200849,120922,79927
"405","Ranibennur",29,"KARNATAKA",10,43,53933,52432,44,289,5590,85298,43234,42064,972,934,89.98,90.16,89.8,"14.6113428,75.6382657",9747,6122,3625
"406","Raniganj",19,"WEST BENGAL",9,155,67150,61474,148,394,7074,89293,50250,39043,915,912,78.47,84.61,71.77,"23.6290575,87.0923906",9719,6225,3494
"407","Ratlam",23,"MADHYA PRADESH",17,361,135007,129803,328,89,13633,207742,111921,95821,961,922,87.88,93.09,82.48,"23.3341696,75.0376325",36589,20861,15728
"408","Raurkela Industrial Township",21,"ORISSA",5,314,109823,100589,261,25,9582,164546,90631,73915,916,886,86.6,91.54,81.22,"22.1993143,84.8620054",22887,12544,10343
"409","Raurkela Town",21,"ORISSA",5,364,144949,128268,331,95,13753,214744,119761,94983,885,899,87.95,92.37,82.94,"22.260423,84.8535844",38314,22541,15773
"410","Rewa",23,"MADHYA PRADESH",13,343,124634,110788,294,63,11103,185291,103599,81692,889,846,87.74,92.91,81.95,"24.5372927,81.30418",41109,25406,15703
"411","Rewari",6,"HARYANA",17,185,74689,66175,173,447,7028,110205,61933,48272,886,785,88.25,94.22,81.61,"28.1927631,76.6239423",22539,12960,9579
"412","Rishra",19,"WEST BENGAL",12,133,66767,57818,41,292,5415,100581,56155,44426,866,900,88.89,92.43,84.78,"22.7244023,88.3287896",14585,9452,5133
"413","Robertson Pet",29,"KARNATAKA",27,201,72378,74050,104,327,6703,119258,61304,57954,1023,1013,89.6,93.23,86.05,"12.9551189,78.2698622",13400,7030,6370
"414","Rohtak",6,"HARYANA",14,416,197754,175379,387,158,18004,279509,155679,123830,887,793,84.08,88.94,78.68,"28.8955152,76.606611",65881,35890,29991
"415","Roorkee",5,"UTTARAKHAND",13,105,63508,54680,46,307,5259,96674,53928,42746,861,830,90.7,94.33,86.49,"29.8542626,77.8880002",30594,16630,13964
