"","name_of_city","state_code","state_name","dist_code","population_total","population_male","population_female","X0.6_population_total","X0.6_population_male","X0.6_population_female","literates_total","literates_male","literates_female","sex_ratio","child_sex_ratio","effective_literacy_rate_total","effective_literacy_rate_male","effective_literacy_rate_female","location","total_graduates","male_graduates","female_graduates"
"17","Allahabad",9,"UTTAR PRADESH",44,72,601363,515731,2,256,47896,877590,493181,384409,858,876,86.5,90.21,82.17,"25.4358011,81.846311",233129,138248,94881
"18","Alwar",8,"RAJASTHAN",6,396,166900,148410,370,132,15714,243634,138737,104897,889,833,86.78,93.72,79.05,"27.5529907,76.6345735",58764,35297,23467
"19","Ambala",6,"HARYANA",2,293,103533,92683,251,20,8932,155780,85004,70776,895,834,88.23,91.58,84.51,"30.3781788,76.7766974",34943,17809,17134
"20","Ambala Sadar",6,"HARYANA",2,29,54241,50027,484,250,4407,83236,43444,39792,922,841,87.97,88.66,87.22,"30.3248708,76.8432663",20618,10689,9929
"21","Ambarnath",27,"MAHARASHTRA",21,355,133006,120997,319,79,13059,201707,111273,90434,910,906,89.04,93.82,83.78,"19.1825167,73.1926023",26596,14444,12152
"22","Ambattur",33,"TAMIL NADU",1,443,241181,236953,404,163,22151,401253,208748,192505,982,960,92.69,95.71,89.62,"13.1143167,80.1480551",97186,52224,44962
"23","Ambikapur",22,"CHHATTISGARH",2,85,59673,54902,89,342,6108,89590,48950,40640,920,887,88.2,92.73,83.29,"23.1354921,83.1817856",20857,12369,8488
"24","Ambur",33,"TAMIL NADU",4,81,56052,57804,60,302,5934,88309,45439,42870,1031,955,86.83,91.18,82.65,"12.7903613,78.7166084",7813,5076,2737
"25","Amravati",27,"MAHARASHTRA",7,471,330544,316257,437,195,29784,543568,284490,259078,957,910,93.03,95.52,90.44,"20.9374238,77.7795513",91996,51456,40540
"26","Amreli",24,"GUJARAT",13,41,55166,50814,487,254,4499,85975,46721,39254,921,835,89.47,93.85,84.75,"21.6031774,71.2220832",11305,6579,4726
"27","Amritsar",3,"PUNJAB",15,80,602754,530007,23,291,49484,872527,478062,394465,879,824,85.27,88.09,82.09,"31.6339793,74.8722642",140359,69241,71118
"28","Amroha",9,"UTTAR PRADESH",6,294,102804,94331,315,74,13056,108772,60621,48151,918,946,63.88,68.11,59.24,"28.9043537,78.4673426",13879,7635,6244
"29","Anand",24,"GUJARAT",15,297,102359,94992,255,18,9362,166211,88444,77767,928,881,93.71,96.42,90.82,"22.5645175,72.928871",29803,17331,12472
"30","Anantapur",28,"ANDHRA PRADESH",22,359,131506,130834,287,49,11221,195452,105452,90000,995,904,81.88,88.54,75.24,"14.6818877,77.6005911",43700,27392,16308
"31","Anantnag",1,"JAMMU & KASHMIR",14,57,56030,52475,220,476,8423,71408,39591,31817,937,874,78.95,85.33,72.23,"33.7311255,75.1487007",12666,7291,5375
"32","Arrah",10,"BIHAR",29,358,139319,121780,368,130,16063,189080,107822,81258,874,875,83.41,89.14,76.86,"25.5560443,84.6603307",35354,25045,10309
"33","Asansol",19,"WEST BENGAL",9,460,293748,270743,427,187,26651,431300,236683,194617,922,908,84.82,89.52,79.73,"23.6739452,86.9523954",65625,40231,25394
"34","Ashoknagar Kalyangarh",19,"WEST BENGAL",11,132,62554,61352,471,229,4321,106337,55398,50939,981,947,92.45,95.53,89.32,"22.84039,88.6241351",11992,7093,4899
"35","Aurangabad",10,"BIHAR",33,13,53307,48213,131,385,6744,75796,42338,33458,904,893,86.89,92.52,80.68,"24.7457189,84.3804888",13141,9371,3770
"36","Aurangabad",10,"BIHAR",33,13,53307,48213,131,385,6744,75796,42338,33458,904,893,86.89,92.52,80.68,"24.7457189,84.3804888",159308,96576,62732
"37","Aurangabad",27,"MAHARASHTRA",19,98,610377,560953,152,413,70156,908725,497404,411321,919,859,89.13,94.08,83.81,"19.8761653,75.3433139",13141,9371,3770
"38","Aurangabad",27,"MAHARASHTRA",19,98,610377,560953,152,413,70156,908725,497404,411321,919,859,89.13,94.08,83.81,"19.8761653,75.3433139",159308,96576,62732
"39","Avadi",33,"TAMIL NADU",1,408,175055,169646,362,114,16409,275881,145729,130152,969,965,88.63,92.2,84.94,"13.1067448,80.0969511",51647,27742,23905
"40","Azamgarh",9,"UTTAR PRADESH",60,65,58033,52947,76,338,5839,85008,46587,38421,912,860,86.43,90.91,81.56,"26.0737044,83.1859458",19911,11691,8220
"41","Badlapur",27,"MAHARASHTRA",21,262,91695,83821,203,455,8098,146259,78910,67349,914,890,92.38,95.53,88.94,"19.1667854,73.2367896",25115,13878,11237
"42","Bagaha",10,"BIHAR",1,79,59946,53066,244,481,9268,56998,34751,22247,885,946,60.67,69.3,50.79,"27.1221959,84.0722375",3744,2756,988
"43","Bagalkot",29,"KARNATAKA",2,75,56837,55231,70,313,5923,85860,46623,39237,972,915,86.15,92.58,79.58,"16.1725355,75.6557206",14090,9038,5052
"44","Bahadurgarh",6,"HARYANA",15,254,91736,78690,260,33,8954,132108,75714,56394,858,784,88.04,94.27,80.87,"28.6924464,76.9239727",22521,13025,9496
"45","Baharampur",19,"WEST BENGAL",7,291,100431,94932,101,334,6487,164445,86535,77910,945,962,90.29,92.36,88.09,"24.0988265,88.2679264",32154,19679,12475
"46","Bahraich",9,"UTTAR PRADESH",49,283,98529,87712,282,42,10782,122602,66544,56058,890,895,75.03,76.94,72.87,"27.7525271,81.4278984",20490,11537,8953
"47","Baidyabati",19,"WEST BENGAL",12,124,62550,58531,455,215,3990,100590,53217,47373,936,958,89.08,91.15,86.86,"22.795783,88.3190717",17224,10311,6913
"48","Baleshwar Town",21,"ORISSA",8,106,60308,57894,30,271,5430,95084,50372,44712,960,955,88.79,92.22,85.22,"21.4869337,86.9246005",23170,14071,9099
"49","Ballia",9,"UTTAR PRADESH",62,30,55706,48565,18,276,5018,80964,45467,35497,872,868,86.62,91.07,81.51,"25.7584381,84.1487319",16114,10252,5862
"50","Bally",19,"WEST BENGAL",15,382,156734,135238,353,81,17276,216902,119508,97394,863,1185,83.39,84.07,82.56,"22.6500518,88.3423199",12354,7562,4792
"51","Bally",19,"WEST BENGAL",15,382,156734,135238,353,81,17276,216902,119508,97394,863,1185,83.39,84.07,82.56,"22.6500518,88.3423199",36100,22170,13930
"52","Bally",19,"WEST BENGAL",15,88,59951,55764,481,239,4705,95665,51534,44131,930,964,90.14,93.58,86.43,"22.6500518,88.3423199",12354,7562,4792
"53","Bally",19,"WEST BENGAL",15,88,59951,55764,481,239,4705,95665,51534,44131,930,964,90.14,93.58,86.43,"22.6500518,88.3423199",36100,22170,13930
"54","Balurghat",19,"WEST BENGAL",5,211,75677,75506,478,235,4634,130230,66954,63276,998,974,91.85,94.41,89.28,"25.2372834,88.7830612",23732,14538,9194
"55","Banda",9,"UTTAR PRADESH",39,219,82215,72173,214,463,8346,113857,64871,48986,878,893,83.3,89.03,76.75,"25.4796224,80.3380213",24015,15215,8800
"56","Bankura",19,"WEST BENGAL",13,178,70734,67302,15,259,5258,111073,60272,50801,951,956,87.27,92.4,81.88,"23.2324146,87.0786044",19082,12321,6761
"57","Bansberia",19,"WEST BENGAL",12,26,53807,49992,468,228,4203,81514,44671,36843,929,930,85.73,90.63,80.46,"22.951904,88.4070629",8566,5264,3302
"58","Banswara",8,"RAJASTHAN",27,3,51240,48888,64,326,5642,76438,41404,35034,954,855,86.98,92.76,81.01,"23.5461394,74.4349761",13852,7837,6015
"59","Baran",8,"RAJASTHAN",30,104,61360,56797,149,401,7003,83879,48209,35670,926,893,81.19,90.08,71.64,"25.1011438,76.5131637",11553,7362,4191
"60","Baranagar",19,"WEST BENGAL",11,349,128432,120034,151,391,7304,215849,114347,101502,935,947,92.46,94.72,90.04,"22.6383016,88.3654386",49711,28274,21437
"61","Barasat",19,"WEST BENGAL",11,374,143732,139711,270,28,10536,236881,123692,113189,972,964,90.42,93.14,87.62,"22.7228159,88.480552",45516,27143,18373
"62","Baraut",9,"UTTAR PRADESH",8,20,54521,48212,109,377,6149,69559,39900,29659,884,832,77.98,84.65,70.51,"29.0998902,77.2606149",12672,7191,5481
"63","Barddhaman",19,"WEST BENGAL",9,395,160631,154007,275,32,10710,260564,138067,122497,959,940,89.07,92.52,85.48,"23.2324214,87.8614793",52387,32325,20062
"64","Bareilly",9,"UTTAR PRADESH",19,489,477438,420729,479,242,44691,563619,316385,247234,881,890,70.17,74.06,65.75,"28.3670355,79.4304381",110691,61065,49626
"65","Baripada Town",21,"ORISSA",7,59,57008,53050,488,249,4705,89421,48388,41033,931,900,89.31,93.45,84.88,"21.9322338,86.7516942",17589,10953,6636
"66","Barnala",3,"PUNJAB",20,94,62302,54152,88,356,5888,82347,46100,36247,869,830,79.59,83.51,75.1,"30.3819446,75.5467979",12665,6213,6452
"67","Barrackpur",19,"WEST BENGAL",11,220,79507,74968,11,263,5118,128459,68159,60300,943,922,89.33,92.16,86.33,"22.7674278,88.3883455",29910,17514,12396
"68","Barshi",27,"MAHARASHTRA",30,113,60857,57716,91,352,5969,91260,49965,41295,948,845,86.47,92.88,79.8,"18.2333856,75.6941478",13351,8564,4787
"69","Basirhat",19,"WEST BENGAL",11,151,64397,62738,13,260,5215,102737,53913,48824,974,947,88.25,91.54,84.88,"22.6574017,88.8671766",20037,12083,7954
"70","Basti",9,"UTTAR PRADESH",54,86,60126,54525,73,319,6027,87065,48473,38592,907,921,85.29,90.46,79.57,"26.8176796,82.7633133",20183,12071,8112
"71","Batala",3,"PUNJAB",1,227,82459,73941,144,408,6670,121138,66101,55037,897,831,85.49,88.81,81.81,"31.8183238,75.2070644",16436,8120,8316
"72","Bathinda",3,"PUNJAB",12,376,151782,134031,342,109,14241,211318,118888,92430,883,865,82.84,87.86,77.16,"30.210994,74.9454745",43428,22471,20957
"73","Beawar",8,"RAJASTHAN",21,198,74946,70863,215,465,8290,110111,61229,48882,946,880,85.96,93.44,78.12,"26.1007337,74.3190747",13767,8257,5510
"74","Begusarai",10,"BIHAR",20,352,133931,117205,381,141,17954,169161,96459,72702,875,897,79.35,84.67,73.25,"25.416675,86.1293792",24616,16492,8124
"75","Belgaum",29,"KARNATAKA",1,445,246407,241885,416,174,24099,396736,208546,188190,982,936,90.49,94.51,86.41,"15.8496953,74.4976741",64200,37682,26518
"76","Bellary",29,"KARNATAKA",11,426,206026,203618,415,170,24250,281768,153275,128493,988,957,78.26,84.83,71.64,"15.1393932,76.9214428",36855,23011,13844
"77","Bengaluru",29,"KARNATAKA",18,482,4401299,4024671,466,224,417854,6775942,3664959,3110983,914,940,89.59,92.63,86.25,"12.9716,77.5946",1591163,908363,682800
"78","Bettiah",10,"BIHAR",1,165,70381,62515,223,478,8518,94663,52547,42116,888,880,82.54,86.57,78,"26.8028048,84.5169757",13438,9372,4066
"79","Betul",23,"MADHYA PRADESH",30,23,52902,50439,25,275,5233,83356,44429,38927,953,907,90.27,94.27,86.11,"21.9108031,77.9011842",17125,9918,7207
"80","Bhadrak",21,"ORISSA",9,52,55094,52275,65,305,5966,76928,41628,35300,949,949,80.88,85.29,76.23,"21.0582737,86.4958396",13311,8191,5120
"81","Bhadravati",29,"KARNATAKA",14,209,75020,75756,125,355,6913,118446,62199,56247,1010,975,86.6,91.56,81.7,"13.8329901,75.7080727",12406,7066,5340
"82","Bhadreswar",19,"WEST BENGAL",12,12,53318,48016,472,232,4307,80249,44493,35756,901,921,86.89,91.47,81.8,"22.8275529,88.3456516",9225,5743,3482
"83","Bhagalpur",10,"BIHAR",22,422,212005,186133,425,183,25714,279469,157049,122420,878,916,81.16,85.38,76.31,"25.3478004,86.9824288",49656,33692,15964
"84","Bhalswa Jahangir Pur",7,"NCT OF DELHI",1,295,106271,90879,320,85,12975,130417,76114,54303,855,884,76.94,83.1,69.71,"28.757322,77.1544",8348,5164,3184
"85","Bharatpur",8,"RAJASTHAN",7,353,134088,118021,349,118,14293,181159,105642,75517,880,829,82.13,90.41,72.8,"27.216981,77.489515",33411,20734,12677
"86","Bharuch",24,"GUJARAT",21,249,86887,81842,178,421,7700,133796,71671,62125,942,916,87.66,91.32,83.79,"21.7051358,72.9958748",14059,8210,5849
"87","Bhatpara",19,"WEST BENGAL",11,420,207876,182591,358,112,15619,307362,172042,135320,878,925,85.86,90.08,81.04,"22.8562412,88.406454",29055,18147,10908
"88","Bhavnagar",24,"GUJARAT",14,463,309447,284321,435,197,28314,455242,251860,203382,919,838,85.62,91.36,79.44,"21.7644725,72.1519304",51875,30315,21560
"89","Bhilai Nagar",22,"CHHATTISGARH",10,468,322254,303443,443,203,32120,487242,267487,219755,942,917,87.23,93.12,80.99,"21.1938475,81.3509416",81620,43751,37869
"90","Bhilwara",8,"RAJASTHAN",24,414,187952,172057,407,167,21617,264762,150306,114456,915,893,84.27,91.8,76.08,"25.321377,74.586953",41788,24856,16932
"91","Bhimavaram",28,"ANDHRA PRADESH",15,189,70066,72214,61,300,6008,108535,55523,53012,1031,977,83.41,86.87,80.07,"16.544893,81.521241",18298,11541,6757
"92","Bhind",23,"MADHYA PRADESH",3,296,105394,91938,296,65,11167,145530,83903,61627,872,838,84.2,91.12,76.3,"26.4450034,78.7476208",20470,13748,6722
"93","Bhiwadi",8,"RAJASTHAN",6,32,59757,45126,196,453,7804,70987,44697,26290,755,859,80.67,88.2,70.44,"28.2088218,76.8445999",10135,6331,3804
"94","Bhiwandi",27,"MAHARASHTRA",21,477,418478,292851,470,230,42793,507722,314906,192816,700,934,81.53,84.5,77.11,"19.2812547,73.0482912",24688,14404,10284
"95","Bhiwani",6,"HARYANA",13,298,105372,92290,278,50,10063,147807,84028,63779,876,809,84.39,90.42,77.56,"28.7751693,75.9927652",28123,17068,11055
"96","Bhopal",23,"MADHYA PRADESH",27,269,939560,856088,266,22,99022,1354219,741737,612482,911,917,85.24,89.19,80.9,"23.2599333,77.412615",282813,155418,127395
"97","Bhubaneswar Town",21,"ORISSA",17,481,445233,392504,450,211,35670,710243,388164,322079,882,902,93.15,95.69,90.26,"20.2960587,85.8245398",200788,121563,79225
"98","Bhuj",24,"GUJARAT",1,202,77900,69223,171,419,7529,114822,64172,50650,889,900,87.5,92.29,82.1,"23.2419997,69.6669324",16457,9536,6921
"99","Bhusawal",27,"MAHARASHTRA",3,285,96655,91095,248,13,8944,152103,81544,70559,942,852,90.37,94.64,85.89,"21.0455204,75.8010962",19815,11257,8558
"100","Bid",27,"MAHARASHTRA",27,200,75655,70582,249,17,8954,112171,61135,51036,933,843,88.56,94.01,82.81,"18.9890893,75.7600785",19030,12252,6778
"101","Bidar",29,"KARNATAKA",4,316,109435,102509,302,62,11974,163781,89472,74309,937,914,87.65,92.88,82.08,"17.9148799,77.5046101",25910,16824,9086
"102","Bidhan Nagar",19,"WEST BENGAL",11,324,111363,106960,80,316,6286,185885,97604,88281,960,967,90.44,93.08,87.69,"22.5867296,88.4170988",65863,35756,30107
"103","Biharsharif",10,"BIHAR",27,385,154915,141974,398,159,20888,189420,110247,79173,916,918,74.8,83.42,65.39,"25.1982147,85.5148735",28092,20487,7605
"104","Bijapur",29,"KARNATAKA",3,402,165122,161238,382,143,18652,239631,128615,111016,976,911,83.43,88.92,77.86,"16.8301708,75.710031",37265,24355,12910
"105","Bikaner",8,"RAJASTHAN",3,472,340894,306910,456,219,38984,451663,259367,192296,900,901,79.86,87.15,71.77,"28.0229348,73.3119159",73369,44965,28404
"106","Bilaspur",22,"CHHATTISGARH",7,404,169738,160368,374,134,17281,260654,141169,119485,945,902,88.76,93.76,83.51,"22.0796251,82.1391412",67396,38607,28789
"107","Bokaro Steel City",20,"JHARKHAND",10,428,220088,193846,414,176,22776,310127,179188,130939,881,874,84.94,92.35,76.54,"23.6692956,86.151112",61034,39496,21538
"108","Bongaon",19,"WEST BENGAL",11,63,56416,54252,464,222,4065,92253,48799,43454,962,927,90.25,93.79,86.58,"23.0440381,88.827703",10286,6684,3602
"109","Botad",24,"GUJARAT",14,160,67778,62524,191,443,7765,94563,53275,41288,922,874,83.21,90.47,75.4,"22.1704232,71.6684269",4578,2997,1581
"110","Brahmapur Town",21,"ORISSA",19,413,185584,170239,335,99,13965,293818,159550,134268,917,898,90.04,93.83,85.92,"19.3149618,84.7940911",50782,32587,18195
"111","Budaun",9,"UTTAR PRADESH",18,231,83475,75746,250,10,9193,101914,56012,45902,907,882,73,76.67,68.97,"28.0337088,79.1205419",19204,10705,8499
"112","Bulandshahr",9,"UTTAR PRADESH",11,331,116923,105903,330,101,13044,153135,86408,66727,906,821,78.98,85.53,71.86,"28.406963,77.8498292",32546,18503,14043
"113","Bundi",8,"RAJASTHAN",23,21,53299,49524,57,309,5628,75482,42642,32840,929,877,83.15,90.96,74.81,"25.4305144,75.6499025",13148,8081,5067
"114","Burari",7,"NCT OF DELHI",2,197,77767,67817,222,482,8325,113188,64125,49063,872,849,88.81,94.36,82.47,"28.7535212,77.1948241",17914,11136,6778
"115","Burhanpur",23,"MADHYA PRADESH",50,315,108234,102657,325,82,13479,149339,80909,68430,948,921,81.7,86.44,76.73,"21.3193875,76.2224273",15203,9325,5878
"116","Buxar",10,"BIHAR",30,19,54123,48468,113,371,6379,75752,42601,33151,896,879,85.16,90.91,78.76,"25.4987785,84.1435136",12464,8920,3544
"117","Champdani",19,"WEST BENGAL",12,66,59296,51687,47,293,5587,81883,46888,34995,872,929,82.39,88,75.91,"22.8049456,88.3409338",7167,4654,2513
"118","Chandannagar",19,"WEST BENGAL",12,244,84257,82692,12,262,5202,141572,73393,68179,981,943,90.62,93.21,87.98,"22.8647723,88.36326",30933,17942,12991
"119","Chandausi",9,"UTTAR PRADESH",4,82,60238,54016,136,392,6687,72515,40323,32192,897,865,72.63,76.79,68.02,"28.4480507,78.7796105",15436,8436,7000
"120","Chandigarh",4,"CHANDIGARH",1,492,525226,435561,5,267,48172,743254,426071,317183,829,860,86.77,90.81,81.88,"30.7333148,76.7794179",189312,101491,87821
"121","Chandrapur",27,"MAHARASHTRA",13,399,165125,155911,340,102,14432,263962,142528,121434,944,906,90.81,95.53,85.83,"19.9704597,79.3014845",37686,21317,16369
"122","Chapra",10,"BIHAR",17,305,106250,95347,321,80,13152,141403,78956,62447,897,906,81.3,86.07,75.97,"25.7795649,84.7498886",22852,15710,7142
"123","Chas",20,"JHARKHAND",10,188,75027,66591,217,466,8351,105417,60459,44958,888,886,85.12,92.16,77.19,"23.6388375,86.1700894",15277,10431,4846
"124","Chennai",33,"TAMIL NADU",2,440,2357633,2323454,392,151,205457,3850472,2004498,1845974,986,964,90.33,93.47,87.16,"13.0826802,80.2707184",879695,487428,392267
"125","Chhattarpur",23,"MADHYA PRADESH",8,167,70586,63040,186,438,7570,99154,55244,43910,893,859,84.57,89.43,79.16,"24.728683,79.560344",20807,12484,8323
"126","Chhindwara",23,"MADHYA PRADESH",38,179,70444,67822,118,353,6683,112532,59892,52640,963,946,90.37,94.49,86.1,"22.057437,78.9381729",28233,16058,12175
"127","Chikmagalur",29,"KARNATAKA",16,110,58859,59637,22,266,5332,96586,49742,46844,1013,952,89.79,93.39,86.26,"13.315258,75.7754018",13204,7441,5763
"128","Chilakaluripet",28,"ANDHRA PRADESH",17,15,50201,51349,480,241,4609,66336,36472,29864,1023,938,72.08,80.54,63.89,"16.0924301,80.1623948",9526,6302,3224
"129","Chitradurga",29,"KARNATAKA",12,182,70304,69610,130,375,6933,111514,58257,53257,990,943,88.76,92.54,84.97,"14.2305594,76.3984537",16857,10213,6644
"130","Chittaurgarh",8,"RAJASTHAN",28,93,60229,56180,126,382,6594,86945,48624,38321,933,882,84.96,92.17,77.28,"24.8887435,74.6269216",16833,9875,6958
"131","Chittoor",28,"ANDHRA PRADESH",23,218,76566,77200,111,358,6457,121094,63681,57413,1008,908,86.37,91.69,81.16,"13.2218054,79.1010442",21345,12973,8372
"132","Churu",8,"RAJASTHAN",4,118,61771,58075,185,428,7821,77751,46055,31696,940,919,75.11,86.48,63.07,"28.3174965,74.9851678",8756,5873,2883
"133","Coimbatore",33,"TAMIL NADU",31,42,531017,530430,483,240,47221,885471,457982,427489,999,963,91.74,95.02,88.47,"11.0168445,76.9558321",168145,87123,81022
"134","Cuddalore",33,"TAMIL NADU",16,259,85593,87768,172,412,7787,139388,72083,67305,1025,955,88.54,93.08,84.15,"11.744699,79.7680243",21572,12022,9550
"135","Cuttack",21,"ORISSA",12,466,303530,302477,412,172,23227,508188,272257,235931,997,916,91.17,97.87,84.49,"20.462521,85.8829895",110147,66347,43800
"136","Dabgram",19,"WEST BENGAL",2,109,60708,57756,139,380,7045,76930,42781,34149,951,949,73.98,80.29,67.34,"26.6954603,88.4415998",2532,1703,829
"137","Dallo Pura",7,"NCT OF DELHI",4,221,81425,73530,239,488,8871,111514,62799,48715,903,891,81.92,87.88,75.34,"28.6004677,77.319462",17134,9918,7216
"138","Damoh",23,"MADHYA PRADESH",11,136,65133,59846,145,389,7030,96043,53052,42991,919,915,87.1,92.34,81.4,"23.8380986,79.4421731",16544,9740,6804
"139","Darbhanga",10,"BIHAR",13,383,154970,139146,385,149,19190,205203,115620,89583,898,905,80.88,86.43,74.68,"26.111868,85.896004",38605,26731,11874
"140","Darjiling",19,"WEST BENGAL",1,122,60114,60300,439,200,3107,107242,54710,52532,1003,903,94.18,96.53,91.85,"27.0360066,88.2626751",16319,8829,7490
"141","Datia",23,"MADHYA PRADESH",5,6,52931,47535,62,321,5665,71071,40482,30589,898,864,80.54,87.29,73.06,"25.6653262,78.4609393",12717,7960,4757
"142","Davanagere",29,"KARNATAKA",13,432,220544,214584,402,161,21657,331551,175747,155804,973,946,84.89,88.92,80.76,"14.4663438,75.9238397",40740,24921,15819
"143","Deesa",24,"GUJARAT",2,70,58724,52425,129,397,6402,78219,45479,32740,893,822,80.67,89.29,71.14,"24.2585031,72.1906721",5933,3946,1987
"144","Dehradun",5,"UTTARAKHAND",5,462,303411,275009,431,193,27580,463791,251832,211959,906,873,89.32,92.65,85.66,"30.3164945,78.0321918",136036,70607,65429
"145","Dehri",10,"BIHAR",32,174,72311,64757,226,471,8802,98968,56416,42552,896,920,83.38,89.92,76.05,"24.9277351,84.1909841",14780,10297,4483
"146","Delhi",7,"NCT OF DELHI",99,60,5871362,5136473,59,314,561337,8583105,4776490,3806615,875,866,87.6,91.44,83.2,"28.7041,77.1025",2221137,1210040,1011097
"147","Delhi Cantonment",7,"NCT OF DELHI",8,91,67703,48649,99,369,5956,93971,57144,36827,719,821,91.11,94.54,86.26,"28.5961279,77.1587375",17317,9653,7664
"148","Deoghar",20,"JHARKHAND",5,307,108243,94873,310,76,12022,153807,87540,66267,876,864,86.8,92.8,79.98,"24.4763201,86.6913222",27126,19215,7911
"149","Deoli",7,"NCT OF DELHI",9,251,91173,78237,280,40,10525,123167,72062,51105,858,877,83.85,91.02,75.47,"28.4962152,77.2376414",13046,8694,4352
"150","Deoria",9,"UTTAR PRADESH",59,157,67754,61816,122,367,6578,102802,56719,46083,912,908,88.81,93.73,83.43,"26.4270039,83.804868",25206,15782,9424
"151","Dewas",23,"MADHYA PRADESH",20,380,150193,139245,369,129,16318,218877,122388,96489,927,901,85.83,92.66,78.49,"22.9622672,76.0507949",29848,17581,12267
"152","Dhanbad",20,"JHARKHAND",9,89,615589,545972,143,388,69696,820008,473787,346221,887,908,80.78,87.93,72.69,"23.7956531,86.4303859",104768,69321,35447
"153","Dharmavaram",28,"ANDHRA PRADESH",22,128,62186,59806,54,310,5522,79037,45025,34012,962,857,71.83,80.77,62.66,"14.4137447,77.7126189",7560,5236,2324
"154","Dhaulpur",8,"RAJASTHAN",8,145,67740,58402,204,469,7740,83405,49087,34318,862,818,76.56,84.22,67.74,"26.7025181,77.893391",11782,7680,4102
"155","Dhule",27,"MAHARASHTRA",2,417,193854,182239,399,164,20431,298693,160511,138182,940,879,89.86,94.08,85.4,"20.9042201,74.7748979",38164,23320,14844
"156","Dibrugarh",18,"ASSAM",11,181,72044,66617,53,298,5748,113822,60782,53040,925,940,89.77,92.19,87.14,"27.4728327,94.9119621",20878,12225,8653
"157","Dimapur",13,"NAGALAND",5,131,65017,58760,137,374,7093,95646,51604,44042,904,966,87.48,89.48,85.24,"25.8629885,93.7536663",12902,7442,5460
"158","Dinapur Nizamat",10,"BIHAR",28,275,97129,85112,303,67,11694,123199,70786,52413,876,873,78.4,84.54,71.39,"25.6328264,85.0597137",19777,13707,6070
"159","Dindigul",33,"TAMIL NADU",11,311,102927,104298,224,461,8929,171130,88360,82770,1013,960,90.55,94.38,86.79,"10.3673123,77.9802906",23327,12660,10667
"160","Dum Dum",19,"WEST BENGAL",11,102,61039,56598,442,201,3194,103757,54153,49604,927,917,93.51,94.09,92.88,"22.6470514,88.431683",25287,14288,10999
"161","Durg",22,"CHHATTISGARH",10,363,136537,132142,332,91,14121,210639,113866,96773,968,939,87.94,93.72,82,"21.1904494,81.2849169",38428,21409,17019
"162","Durgapur",19,"WEST BENGAL",9,461,294349,272588,418,175,24553,453604,247176,206428,926,946,87.84,92.1,83.23,"23.5204443,87.3119227",80060,47809,32251
"163","Eluru",28,"ANDHRA PRADESH",15,319,105707,108707,221,451,9077,145516,74521,70995,1028,1003,74.13,77.1,71.26,"16.7106604,81.0952431",23523,14252,9271
"164","English Bazar",19,"WEST BENGAL",6,320,115126,100957,360,131,14564,154875,82428,72447,877,781,84.69,85.44,83.86,"25.0108408,88.1410967",28983,17393,11590
"165","Erode",33,"TAMIL NADU",9,228,78094,78859,115,346,6740,126638,66307,60331,1010,972,88.39,93.18,83.65,"11.3410364,77.7171642",19615,11114,8501
"166","Etah",9,"UTTAR PRADESH",70,114,62966,55666,127,387,6511,90289,50001,40288,884,851,86.43,90.4,81.96,"27.5587505,78.662567",21588,13031,8557
"167","Etawah",9,"UTTAR PRADESH",30,356,135829,120961,329,98,13401,188887,104612,84275,891,863,82.89,86.95,78.35,"26.8458148,79.1096901",38404,22962,15442
"168","Faizabad",9,"UTTAR PRADESH",46,245,87279,80265,188,433,7821,130700,70243,60457,920,903,86.52,89.34,83.45,"26.7732476,82.1441643",30658,17077,13581
"169","Faridabad",6,"HARYANA",20,184,750446,654207,213,472,80965,1042168,592024,450144,872,845,84.88,90.44,78.53,"28.4089123,77.3177894",219974,123138,96836
"170","Farrukhabad-cum-Fatehgarh",9,"UTTAR PRADESH",28,366,145515,130239,356,121,15002,182356,101282,81074,895,865,74.92,79.02,70.35,"27.3826126,79.5940544",31160,18099,13061
"171","Fatehpur",9,"UTTAR PRADESH",41,289,101620,92181,274,37,10228,133418,74561,58857,907,863,77.69,83.06,71.82,"25.8499808,80.8986502",25076,15061,10015
"172","Firozabad",9,"UTTAR PRADESH",16,465,321624,282173,457,221,38896,365347,208434,156913,877,893,70.08,74.95,64.5,"27.1591006,78.3957574",36145,21265,14880
"173","Firozpur",3,"PUNJAB",9,61,58401,51690,43,304,5254,78615,43468,35147,885,839,79.75,83.37,75.69,"30.9331348,74.6224755",14939,7455,7484
"174","Gadag-Betigeri",29,"KARNATAKA",7,256,86165,86648,228,470,8900,132094,70035,62059,1006,935,85.56,91.37,79.82,"15.4324651,75.6380337",15926,9941,5985
"175","Gandhidham",24,"GUJARAT",1,350,132388,116317,346,108,14872,181253,104073,77180,879,909,83.34,89.69,76.08,"23.075297,70.133673",24431,14049,10382
"176","Gandhinagar",24,"GUJARAT",6,312,109479,98820,240,11,8428,177510,95640,81870,903,809,93.7,96.55,90.57,"23.2156354,72.6369415",52343,31129,21214
"177","Ganganagar",8,"RAJASTHAN",1,335,120929,103844,300,71,11117,166449,95374,71075,859,814,83.22,88.9,76.65,"29.9038399,73.8771901",34347,19007,15340
"178","Gangapur City",8,"RAJASTHAN",10,116,62910,56135,176,434,7405,82132,49231,32901,892,852,79.78,90.8,67.52,"26.4846537,76.7278803",9850,6727,3123
